abandon,əˈbændən
abate,əˈbeɪt
abbreviate,əˈbɹiviˌeɪt
abdicate,ˈæbdəˌkeɪt
abduct,æbˈdəkt
abet,əˈbɛt
abhor,æbˈhɔɹ
ablate,ˌəˈbɫeɪt
abolish,əˈbɑɫɪʃ
abort,əˈbɔɹt
abound,əˈbaʊnd
abrade,æˈbɹeɪd
abridge,əˈbɹɪdʒ
abrogate,ˈæbɹəˌɡeɪt
abscond,æbˈskɑnd
absent,ˈæbsənt
absolve,æbˈzɑɫv
absorb,əbˈzɔɹb
abstain,æbˈsteɪn
abstract,ˈæbˌstɹækt
abuse,əbˈjus
accede,ækˈsid
accelerate,ækˈsɛɫɝˌeɪt
accept,ækˈsɛpt
access,ˈækˌsɛs
accession,əkˈsɛʃən
acclaim,əˈkɫeɪm
accommodate,əˈkɑməˌdeɪt
accompany,əˈkəmpəni
accord,əˈkɔɹd
account,əˈkaʊnt
accredit,əˌkɹɛdət
accrue,əˈkɹu
accumulate,əkˈjumjəˌɫeɪt
accuse,əkˈjuz
ace,ˈeɪs
ache,ˈeɪk
achieve,əˈtʃiv
acidify,əˈsɪdəˌfaɪ
acknowledge,ækˈnɑɫɪdʒ
acquaint,əˈkweɪnt
acquire,əˈkwaɪɝ
acquit,əˈkwɪt
act,ˈækt
action,ˈækʃən
activate,ˈæktəˌveɪt
actualize,ˈækˌtʃuəˌɫaɪz
adapt,əˈdæpt
add,ˈæd
addict,ˈæˌdɪkt
addle,ˈædəɫ
address,ˈæˌdɹɛs
adduct,ˈædəkt
adhere,ədˈhɪɹ
adjoin,əˈdʒɔɪn
adjourn,əˈdʒɝn
adjust,əˈdʒəst
administer,ədˈmɪnəstɝ
admire,ædˈmaɪɹ
admit,ədˈmɪt
adopt,əˈdɑpt
adore,əˈdɔɹ
adulate,ˈædʒəˌɫeɪt
advance,ədˈvæns
advantage,ædˈvæntɪdʒ
advertise,ˈædvɝˌtaɪz
advise,ædˈvaɪz
affect,əˈfɛkt
affiliate,əˈfɪɫiˌeɪt
affirm,əˈfɝm
affix,ˈæfɪks
afflict,əˈfɫɪkt
afford,əˈfɔɹd
age,ˈeɪdʒ
agglomerate,əˈɡɫɑmɝˌeɪt
agglutinate,əˈɡɫutɪˌneɪt
aggregate,ˈæɡɹəɡeɪt
aggrieve,əˈɡɹiv
agitate,ˈædʒəˌteɪt
agonize,ˈæɡəˌnaɪz
agree,əˈɡɹi
ail,ˈeɪɫ
aim,ˈeɪm
air,ˈɛɹ
airlift,ˈɛɹˌɫɪft
airmail,ˈɛɹˌmeɪɫ
alarm,əˈɫɑɹm
alibi,ˈæɫəˌbaɪ
alien,ˈeɪɫiən
alight,əˈɫaɪt
align,əˈɫaɪn
alligator,ˈæɫəˌɡeɪtɝ
allocate,ˈæɫəˌkeɪt
allow,əˈɫaʊ
allowance,əˈɫaʊəns
alloy,ˈæˌɫɔɪ
allude,əˈɫud
ally,ˈæɫaɪ
alphabetize,ˈæɫfəbəˌtaɪz
alter,ˈɔɫtɝ
alternate,ˈɔɫtɝˌneɪt
aluminize,əˈɫuməˌnaɪz
amaze,əˈmeɪz
ambition,æmˈbɪʃən
amble,ˈæmbəɫ
ambulate,ˈæmbjəˌɫeɪt
ambush,ˈæmˌbʊʃ
amend,əˈmɛnd
amnesty,ˈæmnəsti
amortize,ˈæmɝˌtaɪz
amount,əˈmaʊnt
amplify,ˈæmpɫəˌfaɪ
amputate,ˈæmpjəˌteɪt
amuse,əmˈjuz
anagram,ˈænəˌɡɹæm
analyze,ˈænəˌɫaɪz
anchor,ˈæŋkɝ
anger,ˈæŋɡɝ
angle,ˈæŋɡəɫ
anguish,ˈæŋɡwɪʃ
angulate,ˈæŋɡjuˌɫeɪt
animate,ˈænəˌmeɪt
anneal,əˈniɫ
annex,ˈæˌnɛks
annotate,ˈænəˌteɪt
announce,əˈnaʊns
annoy,əˈnɔɪ
anoint,əˈnɔɪnt
answer,ˈænsɝ
antagonize,ænˈtæɡəˌnaɪz
ante,ˈænti
anticipate,ænˈtɪsəˌpeɪt
antiquate,ˈæntəˌkweɪt
antique,ænˈtik
ape,ˈeɪp
apologize,əˈpɑɫəˌdʒaɪz
appeal,əˈpiɫ
appear,əˈpɪɹ
append,əˈpɛnd
applaud,əˈpɫɔd
apply,əˈpɫaɪ
appoint,əˈpɔɪnt
appreciate,əˈpɹiʃiˌeɪt
apprehend,ˌæpɹɪˈhɛnd
apprentice,əˈpɹɛntəs
approach,əˈpɹoʊtʃ
appropriate,əˈpɹoʊpɹiˌeɪt
approve,əˈpɹuv
approximate,əˈpɹɑksəˌmeɪt
arbitrage,ˈɑɹbɪˌtɹɑʒ
arch,ˈɑɹtʃ
archive,ˈɑɹˌkaɪv
argue,ˈɑɹɡju
arise,ɝˈaɪz
arm,ˈɑɹm
armor,ˈɑɹmɝ
arouse,ɝˈaʊz
arraign,ɝˈeɪn
arrange,ɝˈeɪndʒ
arrive,ɝˈaɪv
arrogate,ˈæɹoʊˌɡeɪt
article,ˈɑɹtəkəɫ
articulate,ɑɹˈtɪkjəˌɫeɪt
ascend,əˈsɛnd
ascertain,ˌæsɝˈteɪn
ash,ˈæʃ
ask,ˈæsk
asphalt,ˈæsˌfɔɫt
aspirate,ˈæspɝˌeɪt
assail,əˈseɪɫ
assassinate,əˈsæsəˌneɪt
assay,ˈæsi
assemble,əˈsɛmbəɫ
assent,əˈsɛnt
assert,əˈsɝt
assess,əˈsɛs
assign,əˈsaɪn
assimilate,əˈsɪməˌɫeɪt
associate,əˈsoʊsiˌeɪt
assume,əˈsum
assure,əˈʃʊɹ
atrophy,ˈætɹəfi
attach,əˈtætʃ
attack,əˈtæk
attend,əˈtɛnd
attenuate,əˈtɛnjuˌeɪt
attest,əˈtɛst
attract,əˈtɹækt
attune,əˈtun
auction,ˈɑkʃən
audit,ˈɔdɪt
audition,ɑˈdɪʃən
augment,ɔɡˈmɛnt
augur,ˈɔɡɝ
authenticate,ɔˈθɛntəˌkeɪt
author,ˈɔθɝ
authorize,ˈɔθɝˌaɪz
autoclave,ˈɔtoʊˌkɫeɪv
autograph,ˈɔtəˌɡɹæf
automobile,ˈɔtəmoʊˌbiɫ
autopsy,ˈɔˌtɑpsi
avail,əˈveɪɫ
avalanche,ˈævəˌɫæntʃ
average,ˈævɝɪdʒ
avert,əˈvɝt
avoid,əˈvɔɪd
awaken,əˈweɪkən
award,əˈwɔɹd
awe,ˈɑ
ax,ˈæks
axe,ˈæks
azure,ˈæʒɝ
babbitt,ˈbæbɪt
babble,ˈbæbəɫ
bachelor,ˈbætʃəɫɝ
back,ˈbæk
backbite,ˈbækˌbaɪt
backdate,ˈbækˌdeɪt
backfire,ˈbækˌfaɪɹ
background,ˈbækˌɡɹaʊnd
backhand,ˈbækˌhænd
backlog,ˈbæˌkɫɑɡ
backpack,ˈbækˌpæk
backpedal,ˈbækˌpɛdəɫ
backslap,ˈbækˌsɫæp
backstitch,ˈbækstɪtʃ
backstop,ˈbækˌstɑp
backstroke,ˈbækˌstɹoʊk
backtrack,ˈbækˌtɹæk
badge,ˈbædʒ
badger,ˈbædʒɝ
baffle,ˈbæfəɫ
bag,ˈbæɡ
bail,ˈbeɪɫ
bait,ˈbeɪt
bake,ˈbeɪk
balance,ˈbæɫəns
bald,ˈbɔɫd
bale,ˈbeɪɫ
ball,ˈbɔɫ
ballast,ˈbæɫəst
balloon,bəˈɫun
ballot,ˈbæɫət
ballyhoo,ˈbæɫiˈhu
ban,ˈbæn
